dataset,rows,start_date,end_date,entities,row_key,columns,note
clean_equity_prices,50300,2020-01-02,2023-12-29,50,"ticker,date",ticker;date;open;high;low;close;adjClose;volume;sector,official equity data cleaned; outliers retained
clean_crypto_prices,14610,2020-01-01,2023-12-31,10,"ticker,date",ticker;date;open;high;low;close;adjClose;volume,official crypto data cleaned and capped at 2023-12-31
clean_headlines,146836,2020-01-01,2023-12-31,50,"ticker,source_date,title",source_timestamp;source_date;ticker;sector;title;url;publisher,exact duplicate headlines removed; raw title text retained
equity_returns,1005,2020-01-03,2023-12-29,50,date,ABBV;ABT;ADBE;AEP;AMD;AMGN;AMT;BA;CAT;CCI;CMCSA;COP;CVX;D;DD;DIS;DOW;DUK;EA;GE;GILD;GS;INTC;KO;MMM;MRK;MS;NEE;NEM;NKE;NUE;NVDA;O;OXY;PLD;PSA;QCOM;SBUX;SHW;SLB;SO;T;TMUS;TTWO;UPS;USB;V;WFC;WMT;XOM,wide adjusted-close simple returns; first all-NaN row dropped
crypto_returns_native,1460,2020-01-02,2023-12-31,10,date,ADA-USD;BCH-USD;BTC-USD;EOS-USD;ETC-USD;ETH-USD;LTC-USD;TRX-USD;XLM-USD;XRP-USD,wide native-calendar crypto returns; weekend returns retained
combined_returns_on_equity_calendar,1005,2020-01-03,2023-12-29,60,date,EQ_ABBV;EQ_ABT;EQ_ADBE;EQ_AEP;EQ_AMD;EQ_AMGN;EQ_AMT;EQ_BA;EQ_CAT;EQ_CCI;EQ_CMCSA;EQ_COP;EQ_CVX;EQ_D;EQ_DD;EQ_DIS;EQ_DOW;EQ_DUK;EQ_EA;EQ_GE;EQ_GILD;EQ_GS;EQ_INTC;EQ_KO;EQ_MMM;EQ_MRK;EQ_MS;EQ_NEE;EQ_NEM;EQ_NKE;EQ_NUE;EQ_NVDA;EQ_O;EQ_OXY;EQ_PLD;EQ_PSA;EQ_QCOM;EQ_SBUX;EQ_SHW;EQ_SLB;EQ_SO;EQ_T;EQ_TMUS;EQ_TTWO;EQ_UPS;EQ_USB;EQ_V;EQ_WFC;EQ_WMT;EQ_XOM;CR_ADA-USD;CR_BCH-USD;CR_BTC-USD;CR_EOS-USD;CR_ETC-USD;CR_ETH-USD;CR_LTC-USD;CR_TRX-USD;CR_XLM-USD;CR_XRP-USD,native crypto returns left-joined onto the equity-return calendar
ticker_sector_map,50,,,10,ticker,ticker;sector,one sector per equity ticker; crypto has no sector assignment
aligned_headlines,146836,2020-01-01,2023-12-31,50,source row,source_timestamp;source_date;ticker;sector;title;url;publisher;trading_date;alignment_lag_days;alignment_status,same-or-next equity trading-day mapping; outside-calendar rows retained
ticker_day_news_panel,37962,2020-01-02,2023-12-29,50,"trading_date,ticker",trading_date;ticker;sector;headline_count;headline_titles_json;combined_headlines;source_date_min;source_date_max;max_alignment_lag_days;publisher_count,full in-memory panel; not written as a compact validation artifact
sector_coverage_daily,10060,2020-01-02,2023-12-29,10,"trading_date,sector",trading_date;sector;article_count;covered_tickers;coverage_share;has_news;breadth;rolling_21d_article_count;rolling_21d_covered_tickers;rolling_21d_breadth,all equity trading-date-sector combinations
sector_coverage_monthly,480,2020-01,2023-12,10,"month,sector",month;sector;article_count;covered_tickers;hhi;breadth,monthly Signal Mosaic Coverage Lens
